time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec), avg_lat(ms)
0,7.6,4314.299,62.259,1803.426,4371.974,6552.765,7411.336,7972.341,8364.52,8364.52,0,495,3.6,5260.278
5,4.8,4490.949,1009.561,1477.79,5534.115,6820.53,8074.341,8232.579,8273.885,8273.885,0,995,4,4755.238
10,4.2,3991.934,1018.806,1552.043,4075.111,4908.957,6554.557,7923.809,9282.721,9282.721,0,1495,3.4,4632.804
15,5,4459.364,1006.252,3572.394,4566.656,5861.379,7914.535,8037.722,8137.638,8137.638,0,1995,5.2,3988.308
20,4,5930.973,1008.735,3613.719,6619.748,7914.11,8532.734,15556.855,15556.855,15556.855,0,2495,4.2,5342.249
25,3.8,4965.173,1008.423,1500.693,5484.029,6286.775,10620.02,11438.926,11438.926,11438.926,0,2995,3.6,4847.811
30,3.6,4450.477,1007.862,1710.564,5033.07,5802.632,9260.983,9503.763,9503.763,9503.763,0,3495,3,5530.439
35,4.8,5238.485,1092.407,3329.678,5034.848,7129.646,9378.02,9594.743,13736.316,13736.316,0,3995,4,5730.217
40,3.2,6753.623,1425.545,3805.96,8024.11,10320.184,10821.783,11698.913,11698.913,11698.913,0,4495,3.8,5539.095
45,3.4,4825.007,1031.035,1666.839,5100.576,6653.665,9676.907,10622.98,10622.98,10622.98,0,4995,3.2,5691.545
50,3.2,4962.927,1416.639,3998.616,4675.561,6971.151,8432.278,8674.7,8674.7,8674.7,0,5495,3.6,4709.212
55,3.8,6379.727,1174.532,3863.81,7337.279,8464.094,9032.266,9291.384,9291.384,9291.384,0,5995,4.4,4653.218
60,3,5339.489,1091.388,1592.68,6401.654,8615.298,8790.832,9801.466,9801.466,9801.466,0,6495,3.4,5080.332
65,3.6,5355.793,1030.521,3955.596,5201.502,7882.763,8405.823,8417.363,8417.363,8417.363,0,6995,3,5922.736
70,4,5656.48,1006.606,4283.96,4818.773,8161.238,11472.504,11625.866,11625.866,11625.866,0,7495,4,4934.602
75,3.2,5465.286,1443.271,4734.112,5385.025,7867.598,8502.288,8959.938,8959.938,8959.938,0,7995,3.8,5299.091
80,3.8,4954.434,1005.537,1735.563,4836.405,6839.889,10387.362,10715.311,10715.311,10715.311,0,8495,2.8,7837.351
85,3.8,5440.267,1610.485,4024.377,5511.998,7457.991,8511.404,9898.027,9898.027,9898.027,0,8995,3.8,4778.024
90,4.6,4657.282,1006.04,1592.829,4968.214,6830.249,7482.346,7900.469,10708.555,10708.555,0,9495,5,4262.288
95,3.4,5272.123,1006.477,3664.204,5627.084,6972.985,8617.988,8718.566,8718.566,8718.566,0,9995,3.8,5277.894
100,3.6,5035.085,1442.1,2904.944,5636.197,6222.687,8502.937,8762.292,8762.292,8762.292,0,10495,3.6,6223.014
105,5.4,4436.593,1004.149,1844.457,3833.203,7559.513,8252.3,9162.507,9762.807,9762.807,0,10995,4.2,5033.747
110,4,5467.592,1028.067,1910.289,5444.964,8751.756,10097.945,10432.256,10432.256,10432.256,0,11495,2.8,5499.052
115,4.2,5252.413,1005.646,1725.696,3688.359,8484.265,10330.695,12451.916,14105.532,14105.532,0,11995,3.6,5187.104
120,2.8,5360.355,1718.909,1785.29,6804.84,6897.258,10413.776,10590.027,10590.027,10590.027,0,12495,3,4979.969
125,4.2,4482.245,1006.463,1719.008,4826.172,5795.974,8710.549,8753.277,9038.929,9038.929,0,12995,4.2,4312.368
130,4.6,3754.325,1005.113,1768.009,3330.994,5563.605,7481.37,7608.816,7726.386,7726.386,0,13495,3.6,4959.864
135,4.8,5568.567,1032.065,3948.982,6371.49,7473.548,9545.674,9661.818,12335.061,12335.061,0,13995,4.8,4894.147
140,3.6,5362.837,1300.868,1768.046,5275.571,6187.437,10169.893,10380.156,10380.156,10380.156,0,,,
145,3.6,5105.558,1006.918,5126.616,5368.368,5811.672,8726.704,9310.518,9310.518,9310.518,0,,,
150,3.8,4626.749,1022.343,3705.246,4658.38,6872.239,7606.032,7892.748,7892.748,7892.748,0,,,
155,4.2,5044.38,1602.319,4250.2,4516.486,6487.926,7607.017,7723.746,9753.837,9753.837,0,,,
