time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,,time(sec), throughput(req/sec), avg_lat(ms)
0,180.8,1043.096,30.157,1026.293,1049.621,1116.361,1235.691,1320.894,1526.982,2209.283,0.001,,245,120,1132.836
5,145.6,1109.234,979.147,1033.885,1060.304,1135.144,1254.602,1369.935,1716.665,2178.7,0.001,,495,164.6,1095.913
10,125,1127.256,1000.573,1033.823,1074.585,1172.81,1317.253,1407.027,1599.244,2373.943,0.001,,745,173.2,1089.806
15,140.6,1114.088,1000.712,1029.997,1060.923,1160.259,1273.18,1363.022,1651.116,1852.176,0.001,,995,144.6,1111.214
20,152.8,1106.149,1000.927,1026.058,1060.104,1134.349,1264.209,1363.628,1586.814,1852.578,0.001,,1245,190.2,1084.465
25,122.6,1129.826,1000.637,1032.609,1075.211,1167.017,1308.117,1446.293,1869.275,2546.558,0.001,,1495,174.4,1091.956
30,63.6,1263.227,1001.103,1075.338,1158.54,1362.318,1611.207,1865.332,2483.711,2709.646,0.001,,1745,189.4,1081.684
35,60.6,1248.495,1000.881,1075.442,1150.488,1361.632,1586.792,1813.115,1970.872,2247.662,0.001,,1995,148.8,1102.806
40,63.4,1257.328,1001.104,1074.89,1151.031,1370.824,1638.708,1813.536,2204.488,2590.918,0.001,,2245,0,-0.001
45,75.8,1209.033,1000.123,1059.542,1125.611,1294.335,1539.134,1727.615,2088.573,2423.36,0.001,,2495,186.8,1084.133
50,81,1200.436,1000.449,1059.035,1117.433,1259.329,1520.799,1683.527,2064.913,2434.132,0.001,,2745,212.6,1075.93
55,68,1235.903,1000.115,1068.054,1142.16,1309.961,1603.695,1781.809,2349.024,2916.683,0.001,,2995,147.2,1585.308
60,101.2,1151.754,1000.189,1025.395,1075.392,1214.216,1396.16,1537.775,1823.179,2775.01,0.001,,3245,194.4,1079.374
65,151,1106.875,1000.248,1025.275,1059.665,1135.489,1275.931,1364.191,1554.846,2061.579,0.001,,3495,215.8,1074.05
70,132.6,1118.739,1000.303,1025.045,1059.574,1151.337,1288.37,1413.955,1753.968,2584.655,0.001,,3745,204.4,1078.044
75,118.6,1139.218,1000.312,1024.624,1076.002,1184.231,1360.652,1479.231,1838.888,2048.409,0.001,,3995,222.6,1072.99
80,78,1205.684,1000.373,1051.504,1116.204,1284.236,1510.875,1721.494,2029.478,2823.884,0.001,,4245,0,-0.001
85,83.6,1192.39,1000.04,1051.22,1108.556,1275.429,1461.827,1654.889,1880.278,2954.745,0.001,,4495,28.6,1413.188
90,77.8,1198.807,1000.648,1058.624,1118.097,1267.268,1492.9,1613.332,2048.598,2424.325,0.001,,4745,90.2,1087.876
95,95.6,1166.56,999.951,1033.414,1092.947,1226.227,1410.298,1554.565,1905.746,2657.608,0.001,,4995,236,1067.998
100,81.8,1203.013,1000.179,1033.597,1116.911,1276.976,1552.514,1669.072,2052.313,2624.937,0.001,,5245,212.8,1074.913
105,81.2,1198.153,1000.508,1057.937,1108.746,1250.945,1486.393,1696.003,2129.484,2655.611,0.001,,5495,227,1069.183
110,79.6,1194.078,1000.091,1058.6,1116.152,1266.727,1477.592,1626.936,2206.998,2750.301,0.001,,5745,110,1073.233
115,92.6,1172.104,999.831,1025.36,1100.458,1234.508,1419.499,1553.362,1946.888,2634.624,0.001,,5995,122.6,1121.381
120,82.4,1199.352,999.908,1025.439,1115.147,1292.46,1478.064,1628.429,2365.631,3628.943,0.001,,6245,223.4,1071.469
125,82.8,1193.752,1000.635,1058.828,1107.92,1259.715,1467.66,1636.006,2069.307,2181.538,0.001,,6495,15.6,2058.053
130,84.2,1188.165,1000.052,1033.257,1108.313,1266.589,1459.122,1626.899,2070.305,2620.568,0.001,,6745,231.2,1067.96
135,92.4,1167.742,1000.22,1025.096,1099.842,1226.476,1416.94,1595.02,1942.317,2831.454,0.001,,6995,215.2,1073.574
140,88.2,1184.533,999.864,1041.474,1100.514,1259.751,1461.178,1636.291,2004.614,2458.588,0.001,,,,
145,87,1181.332,1000.419,1033.638,1099.862,1259.507,1477.007,1634.94,1928.605,2104.496,0.001,,,,
150,94.4,1172.434,999.789,1025.448,1092.284,1217.599,1468.338,1642.136,1920.486,2460.673,0.001,,,,
155,97.4,1165.154,999.779,1024.533,1092.138,1225.514,1434.248,1577.195,1872.315,2121.507,0.001,,,,
160,83.2,1190.831,999.831,1033.626,1101.74,1251.495,1493.112,1652.687,2061.467,2993.734,0.001,,,,
165,75.6,1211.969,1000.468,1041.514,1108.355,1309.449,1560.001,1693.608,2338.582,2455.379,0.001,,,,
170,84.6,1188.192,1000.104,1044.483,1109.065,1258.489,1435.591,1618.761,2037.985,3426.001,0.001,,,,
175,105.8,1146.182,1000.023,1018.007,1075.636,1183.757,1376.374,1552.483,1985.815,2111.708,0.001,,,,
180,92.6,1179.569,1000.13,1025.537,1106.058,1226.549,1461.198,1612.28,2223.146,2646.334,0.001,,,,
185,97.6,1160.957,999.79,1025.248,1091.414,1226.303,1425.26,1543.595,1895.671,2273.694,0.001,,,,
190,110.4,1144.523,999.731,1017.219,1083.754,1191.917,1404.42,1502.873,1761.482,2299.282,0.001,,,,
195,98,1160.285,999.674,1024.62,1084.737,1216.781,1409.972,1534.926,1993.58,2640.868,0.001,,,,
200,99,1164.204,999.854,1024.945,1092.652,1234.841,1409.625,1531.333,2116.878,2565.088,0.001,,,,
205,106.4,1150.668,999.914,1022.057,1077.809,1210.284,1384.661,1527.139,1861.58,2335.658,0.001,,,,
210,83.6,1196.711,1000.549,1027.657,1102.248,1252.475,1525.65,1765.814,2037.004,2835.968,0.001,,,,
215,101,1151.275,999.591,1025.47,1083.676,1212.041,1403.241,1524.577,1845.771,2070.405,0.001,,,,
220,92.2,1178.001,1000.313,1026.308,1089.53,1234.991,1437.238,1679.724,2126.715,2488.945,0.001,,,,
225,97,1162.537,999.886,1024.846,1084.714,1210.46,1431.935,1592.391,1862.669,2621.968,0.001,,,,
230,112.2,1146.774,1000.262,1018.234,1074.842,1197.116,1397.755,1536.818,1842.468,2065.231,0.001,,,,
235,111.2,1138.058,999.979,1017.444,1074.701,1189.143,1344.161,1499.792,1905.925,2338.466,0.001,,,,
240,94.2,1173.832,1000.149,1017.96,1092.032,1252.201,1439.369,1583.742,1983.268,2630.437,0.001,,,,
245,120,1132.836,1000.25,1017.761,1068.371,1176.605,1345.689,1463.063,1911.368,2436.789,0.001,,,,
250,103.8,1152.57,1000.382,1017.494,1075.077,1195.131,1427.724,1591.46,1891.331,2159.256,0.001,,,,
255,130.4,1124.988,999.614,1019.479,1067.235,1168.949,1327.889,1420.716,1766.417,2361.626,0.001,,,,
260,106.2,1146.929,999.953,1017.903,1076.018,1201.752,1379.879,1536.317,1831.704,2429.373,0.001,,,,
265,118.6,1135.053,999.792,1019.668,1068.429,1167.957,1368.649,1473.808,1892.117,2429.315,0.001,,,,
270,104.8,1151.236,1000.107,1024.65,1085.078,1209.416,1386.214,1505.56,1889.615,2210.146,0.001,,,,
275,119.8,1132.855,1000.26,1017.191,1067.667,1162.243,1363.673,1502.203,1841.551,2117.687,0.001,,,,
280,110,1144.827,1000.355,1017.643,1074.725,1168.626,1392.84,1536.233,1956.488,3020.65,0.001,,,,
285,137,1118.407,1000.052,1017.374,1066.6,1160.243,1293.56,1411.883,1747.512,2066.242,0.001,,,,
290,111,1142.148,999.789,1017.478,1073.164,1184.631,1352.92,1496.244,1971.338,2601.009,0.001,,,,
295,122,1132.009,1000.085,1017.14,1074.684,1168.427,1337.559,1438.076,1779.089,2331.753,0.001,,,,
300,103.2,1156.963,999.509,1017.459,1083.528,1191.987,1393.719,1602.9,2197.719,2667.17,0.001,,,,
305,113.4,1140.702,1000.11,1017.604,1084.621,1194.094,1368.153,1486.675,1744.014,2039.378,0.001,,,,
310,125.8,1124.947,1000.152,1017.098,1058.749,1151.762,1350.496,1477.858,1831.689,2181.118,0.001,,,,
315,122.4,1134.337,999.816,1017.208,1066.838,1174.566,1352.643,1486.442,1805.162,2079.446,0.001,,,,
320,106.8,1147.533,999.896,1024.681,1079.738,1201.073,1361.131,1511.349,1872.448,2705.126,0.001,,,,
325,133.2,1118.673,1000.086,1016.767,1058.773,1157.016,1318.845,1465.183,1738.197,2058.199,0.001,,,,
330,126.4,1124.22,1000.136,1017.079,1066.443,1167.087,1312.57,1460.725,1773.081,2092.378,0.001,,,,
335,145.2,1112.178,1000.204,1017.19,1051.174,1159.955,1294.68,1378.498,1604.903,1975.278,0.001,,,,
340,126.4,1127.42,1000.518,1017.229,1067.054,1164.377,1326.882,1487.162,1790.811,2357.84,0.001,,,,
345,122,1131.308,1000.077,1017.597,1067.209,1176.934,1353.883,1467.209,1673.48,1874.507,0.001,,,,
350,104.2,1153.687,1000.186,1025.006,1083.837,1208.935,1376.74,1486.553,1940.563,2242.073,0.001,,,,
355,111.8,1140.164,999.649,1024.322,1083.285,1192.155,1335.716,1460.261,1778.847,2014.545,0.001,,,,
360,124.4,1128.941,999.781,1017.048,1067.38,1159.05,1359.11,1478.042,1971.176,2215.055,0.001,,,,
365,140.2,1113.863,1000.226,1016.844,1058.148,1158.672,1292.996,1418.857,1695.033,1862.403,0.001,,,,
370,118.4,1136.823,999.948,1017.167,1067.557,1184.113,1342.475,1485.571,1898.001,2337.371,0.001,,,,
375,138.2,1122.752,999.823,1017.124,1058.629,1167.073,1333.483,1413.196,1778.603,3103.366,0.001,,,,
380,120,1121.72,999.899,1017.307,1067.976,1159.287,1320.681,1417.357,1661.777,1883.246,0.001,,,,
