time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,,time(sec), throughput(req/sec), avg_lat(ms)
0,901.4,986.256,37.537,1016.11,1017.405,1018.441,1025.591,1028.329,1083.905,1176.823,0.001,,245,0,-0.001
5,843.4,1018.611,993.41,1016.414,1017.116,1017.74,1024.576,1029.756,1091.865,1151.962,0.001,,495,0,-0.001
10,873,1017.806,997.152,1016.328,1016.982,1017.623,1023.606,1028.017,1075.935,1092.537,0.001,,745,0,-0.001
15,841,1018.609,990.93,1016.236,1016.895,1017.655,1025.215,1032.973,1091.677,1101.034,0.001,,995,243.8,1054.534
20,891,1017.593,999.26,1016.199,1016.918,1017.656,1025.016,1032.991,1073.992,1092.032,0.001,,1245,699.2,1022.51
25,867.8,1018.015,999.203,1016.234,1016.904,1017.493,1024.964,1033.899,1083.592,1131.73,0.001,,1495,753.4,1020.787
30,850,1018.416,999.429,1016.253,1016.859,1017.541,1025.087,1027.1,1092.148,1110.356,0.001,,1745,823.2,1049.888
35,828.8,1018.91,999.055,1016.268,1016.886,1017.598,1025.387,1034.384,1092.479,1116.947,0.001,,1995,237.4,1179.647
40,553.8,1028.686,999.478,1018.991,1021.128,1026.058,1071.857,1089.103,1109.876,1192.096,0.001,,2245,857.8,1018.17
45,722.8,1021.839,999.428,1017.904,1018.998,1020.168,1028.68,1061.927,1102.085,1129.077,0.001,,2495,3.2,1185.901
50,735.2,1021.141,999.385,1017.365,1018.176,1019.069,1027.178,1056.016,1110.312,1220.446,0.001,,2745,886,1017.704
55,788.2,1019.868,999.231,1016.933,1017.774,1018.673,1026.359,1035.667,1100.156,1168.525,0.001,,2995,0,-0.001
60,773.6,1020.566,999.084,1016.724,1017.61,1018.463,1026.682,1059.145,1101.547,1147.607,0.001,,3245,0,-0.001
65,493.6,1111.452,996.827,1016.605,1017.381,1018.362,1026.639,1035.707,1252.309,15129.529,0.001,,3495,0,-0.001
70,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,3745,916.6,1017.056
75,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,3995,271.2,1029.473
80,350.2,1136.372,999.687,1016.53,1017.36,1018.312,1027.001,1092.235,1209.377,13457.395,0.001,,4245,510,1141.699
85,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,4495,19.6,1810.519
90,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,4745,646.8,1026.147
95,310.4,1043.136,999.395,1016.649,1017.433,1018.344,1026.415,1076.891,3018.161,3098.406,0.001,,4995,0,-0.001
100,421.8,1067.798,999.434,1016.439,1017.195,1017.826,1027.238,1100.828,1250.322,6608.374,0.001,,5245,906.2,1017.244
105,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,5495,457.8,1034.882
110,490,1117.156,999.504,1016.266,1016.938,1017.636,1025.277,1028.034,1116.733,16174.146,0.001,,5745,603.8,1021.36
115,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,5995,881.6,1017.795
120,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,6245,18.6,1763.976
125,32.8,1161.421,1000.215,1075.137,1173.623,1247.468,1273.896,1275.086,1409.725,1501.919,0.001,,6495,0,-0.001
130,575.8,1026.451,998.97,1016.238,1016.913,1017.74,1050.39,1083.992,1151.974,1664.15,0.001,,6745,664,1023.749
135,459.6,1116.577,998.97,1016.238,1016.955,1017.603,1025.582,1058.696,1175.486,14791.575,0.001,,6995,226.2,1188.031
140,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,
145,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,
150,511.8,1019.626,999.267,1016.168,1016.861,1017.448,1024.946,1050.661,1117.135,1142.458,0.001,,,,
155,135.2,1561.02,999.505,1016.338,1016.855,1017.452,1019.631,1051.096,23982.822,23991.565,0.001,,,,
160,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,
165,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,
170,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,
175,47.6,1085.218,999.715,1024.19,1082.653,1100.198,1207.952,1216.705,1324.944,1325.264,0.001,,,,
180,665.6,1033.927,999.107,1016.058,1016.696,1017.249,1018.259,1026.187,1093.424,4440.209,0.001,,,,
