time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,,time(sec), throughput(req/sec) 5, avg_lat(ms) 5,, throughput(req/sec) 6, avg_lat(ms) 6
0,830,985.494,35.312,1016.812,1017.965,1019.103,1027.004,1052.012,1101.492,1159.496,0.001,,245,18.4,1806.359,,0,-0.001
5,769,1019.968,996.876,1016.77,1017.484,1018.394,1025.926,1035.078,1107.955,1255.419,0.001,,495,0,-0.001,,0,-0.001
10,17.4,4529.841,1000.542,1017.054,1017.171,1018.157,20122.967,20123.404,20132.625,20132.625,0,,745,870,1017.805,,0,-0.001
15,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,995,275.4,1245.052,,243.8,1054.534
20,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,1245,883,1017.772,,699.2,1022.51
25,70.8,1043.231,999.778,1016.636,1017.797,1027.742,1134.008,1194.507,1253.021,1254.131,0.001,,1495,275.6,1157.414,,753.4,1020.787
30,184.8,1141.396,999.878,1023.61,1031.306,1090.526,1136.968,1497.989,5006.011,5059.558,0.001,,1745,817.4,1019.192,,823.2,1049.888
35,61,2234.982,999.786,1022.273,1026.658,1103.089,1126.994,23580.23,23634.224,23644.712,0,,1995,263.8,1251.158,,237.4,1179.647
40,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,2245,0,-0.001,,857.8,1018.17
45,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,2495,58.4,1592.738,,3.2,1185.901
50,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,2745,767.4,1020.462,,886,1017.704
55,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,2995,150,1088.851,,0,-0.001
60,65.8,1158.269,1000.044,1022.399,1024.211,1056.315,1141.067,1284.956,3363.066,3364.25,0.001,,3245,25,2400.48,,0,-0.001
65,258.2,1059.608,999.703,1020.324,1022.425,1072.526,1105.236,1205.669,1597.418,1631.785,0.001,,3495,243,1191.084,,0,-0.001
70,319.4,1049.65,999.475,1019.162,1020.537,1030.019,1096.857,1150.948,1653.107,1703.658,0.001,,3745,0,-0.001,,916.6,1017.056
75,87,1554.063,999.497,1018.715,1019.698,1020.851,1029.657,1062.511,15559.159,15568.976,0.001,,3995,0,-0.001,,271.2,1029.473
80,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,4245,38.2,1173.567,,510,1141.699
85,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,4495,858,1018.249,,19.6,1810.519
90,334.2,1047.983,999.514,1018.298,1019.5,1028.677,1119.201,1153.883,1571.103,1669.61,0.001,,4745,18.8,1868.972,,646.8,1026.147
95,239.8,1274.573,999.715,1017.795,1018.672,1020.053,1061.235,1111.046,19208.333,19243.891,0.001,,4995,205.6,1251.519,,0,-0.001
100,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,5245,518,1030.081,,906.2,1017.244
105,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,5495,289.6,1054.699,,457.8,1034.882
110,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,5745,350.8,1038.468,,603.8,1021.36
115,135.4,1597.371,999.904,1017.939,1019,1020.993,1086.614,1162.047,24979.116,25046.588,0.001,,5995,339,1041.728,,881.6,1017.795
120,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,6245,797.8,1019.694,,18.6,1763.976
125,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,6495,226,1221.899,,0,-0.001
130,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,6745,0,-0.001,,664,1023.749
135,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,6995,0,-0.001,,226.2,1188.031
140,191.8,1067.819,999.829,1017.658,1018.685,1020.353,1093.434,1203.062,3113.788,3118.659,0.001,,,,,,,
145,409.6,1038.707,999.471,1017.677,1018.573,1023.371,1084.653,1144.173,1401.869,1603.17,0.001,,,,,,,
150,511.6,1030.996,999.502,1017.089,1017.909,1018.888,1034.779,1100.046,1534.506,1768.3,0.001,,,,,,,
155,441.6,1155.467,999.318,1017.039,1017.772,1018.598,1029.975,1092.178,1579.311,18874.835,0.001,,,,,,,
160,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
165,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,,,,,,
