time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,988.000,930.178,34.141,1001.022,1017.051,1018.798,1026.285,1029.048,1109.795,1510.688,0.001
5,858.600,1018.160,973.890,1008.541,1017.335,1018.335,1026.811,1059.131,1101.283,1142.606,0.001
10,796.400,1019.668,990.032,1007.914,1017.025,1018.032,1027.314,1067.654,1117.977,1254.260,0.001
15,912.400,1017.191,983.161,1007.926,1016.758,1017.675,1025.549,1050.055,1094.074,1225.314,0.001
20,953.800,1016.482,988.965,1008.987,1016.844,1017.655,1025.156,1034.014,1100.197,1116.853,0.001
25,939.200,1016.728,999.378,1008.175,1016.617,1017.427,1024.742,1033.564,1092.519,1151.315,0.001
30,988.200,1015.873,999.382,1007.531,1016.461,1017.323,1023.887,1028.943,1084.629,1243.560,0.001
35,1035.000,1015.222,992.929,1006.182,1016.392,1017.293,1024.496,1026.597,1083.150,1125.407,0.001
40,970.000,1016.111,994.312,1007.858,1016.493,1017.267,1024.740,1040.267,1083.873,1150.501,0.001
45,965.200,1016.514,999.442,1007.899,1016.455,1017.211,1024.604,1034.379,1100.133,1551.388,0.001
50,979.800,1015.755,999.475,1007.292,1016.349,1017.124,1022.614,1025.825,1092.116,1200.413,0.001
55,992.400,1015.801,995.909,1008.512,1016.383,1017.106,1022.352,1026.401,1083.909,1201.923,0.001
60,935.200,1016.816,994.446,1006.824,1016.269,1017.156,1024.888,1042.237,1084.111,2007.690,0.001
65,1032.400,1015.168,995.629,1007.804,1016.293,1017.039,1021.221,1025.688,1083.442,1116.056,0.001
70,958.200,1016.342,999.463,1007.718,1016.301,1017.114,1024.769,1049.977,1092.147,1108.599,0.001
75,1020.000,1015.365,999.390,1006.543,1016.206,1017.037,1024.122,1026.131,1091.183,1133.600,0.001
80,999.400,1015.700,994.203,1008.020,1016.310,1017.090,1024.541,1026.137,1091.979,1116.962,0.001
85,980.400,1015.973,999.397,1007.722,1016.259,1017.012,1024.061,1033.215,1092.254,1157.630,0.001
90,985.200,1015.924,995.862,1008.012,1016.264,1017.050,1024.546,1034.394,1083.452,1100.753,0.001
95,1027.800,1015.278,999.294,1007.300,1016.210,1016.987,1023.605,1026.498,1083.726,1117.425,0.001
100,1034.400,1015.301,996.712,1007.212,1016.196,1016.975,1023.940,1026.211,1083.851,1117.228,0.001
105,959.000,1016.192,998.816,1008.244,1016.282,1017.041,1024.148,1026.366,1099.838,1191.314,0.001
110,975.600,1015.974,982.812,1007.301,1016.216,1017.008,1024.094,1033.949,1091.703,1151.255,0.001
115,983.800,1015.968,999.373,1006.677,1016.251,1017.010,1022.996,1033.357,1091.699,1159.947,0.001
