time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec) 1, avg_lat(ms) 1 ,Êthroughput(req/sec) 2,Êavg_lat(ms) 2,,cockroach - time(sec),Êcockroach - throughput(req/sec),Êcockroach - avg_lat(ms),cockroach - time(sec),Êcockroach - throughput(req/sec),Êcockroach - avg_lat(ms),, throughput(req/sec) 3, avg_lat(ms) 3,, throughput(req/sec) 5, avg_lat(ms) 5
0,118.4,972.252,192.73,1012.515,1016.411,1017.118,1032.59,1041.501,1083.71,1125.367,0.001,245,67.4,1029.263,101.4,1019.64,,0,7.4,4389.415,245,3.8,4706.514,,120,1132.836,,18.4,1806.359
5,105.8,1018.841,1000.353,1015.812,1016.572,1017.191,1032.521,1042.109,1083.472,1124.749,0.001,495,80.4,1025.141,99.4,1019.794,,5,3.8,4870.69,495,4.8,4848.97,,164.6,1095.913,,0,-0.001
10,107.8,1018.433,1000.486,1015.93,1016.527,1017.173,1026.148,1041.595,1074.759,1124.942,0.001,745,78.2,1025.48,103.8,1019.078,,10,4.4,4378.645,745,3.6,5692.493,,173.2,1089.806,,870,1017.805
15,108.8,1018.321,999.991,1016.061,1016.678,1017.191,1029.027,1041.342,1067.722,1088.265,0.001,995,96.6,1020.505,43,1020.954,,15,4.4,5193.381,995,3.8,5462.668,,144.6,1111.214,,275.4,1245.052
20,113.4,1017.514,985.596,1016.075,1016.59,1017.097,1024.423,1033.684,1066.943,1124.958,0.001,1245,36,1020.617,1.6,1768.704,,20,4.4,5293.835,1245,4,5756.778,,190.2,1084.465,,883,1017.772
25,110.2,1018.067,1000.013,1015.953,1016.612,1017.134,1024.59,1034.947,1083.132,1108.539,0.001,1495,91.6,1021.881,60.2,1020.771,,25,3.4,5534.152,1495,3.6,4468.074,,174.4,1091.956,,275.6,1157.414
30,94.2,1021.178,999.767,1016.143,1016.665,1017.305,1033.837,1058.886,1092.545,1117.044,0.001,1745,95,1020.972,27,1027.535,,30,4.4,4395.561,1745,3.8,5008.531,,189.4,1081.684,,817.4,1019.192
35,99.6,1019.993,1000.107,1016.046,1016.609,1017.09,1024.923,1059.052,1114.978,1133,0.001,1995,96.2,1020.704,97,1020.604,,35,3.6,5388.329,1995,3.4,5307.981,,148.8,1102.806,,263.8,1251.158
40,91,1021.898,999.724,1016.192,1016.688,1017.214,1049.89,1060.241,1108.415,1157.476,0.001,2245,85.4,1023.4,100.4,1019.836,,40,2.8,6924.111,2245,3.6,5295.584,,0,-0.001,,0,-0.001
45,97,1020.549,999.851,1015.994,1016.571,1017.16,1032.381,1066.508,1107.658,1116.884,0.001,2495,0,-0.001,100,1020.223,,45,4,4229.983,2495,3.4,6006.346,,186.8,1084.133,,58.4,1592.738
50,89.6,1022.28,1000.221,1016.087,1016.655,1017.212,1042,1066.296,1125.565,1167.227,0.001,2745,80.4,1024.784,103.6,1019.203,,50,5,4588.502,2745,4,4443.55,,212.6,1075.93,,767.4,1020.462
55,92.4,1021.571,999.93,1015.95,1016.524,1017.099,1050.226,1066.94,1116.529,1149.905,0.001,2995,92.6,1021.444,105,1018.952,,55,3.8,5233.604,2995,3.4,5330.61,,147.2,1585.308,,150,1088.851
60,79,1025.228,1000.191,1016.095,1016.696,1017.469,1060.488,1084.044,1124.918,1139.247,0.001,3245,96.8,1020.589,90.8,1022.128,,60,3.6,5277.529,3245,4.4,5014.634,,194.4,1079.374,,25,2400.48
65,94,1021.182,999.955,1015.973,1016.58,1017.135,1032.335,1066.974,1116.448,1167.282,0.001,3495,91,1021.894,95,1020.943,,65,4.2,4857.428,3495,3.6,5529.58,,215.8,1074.05,,243,1191.084
70,85.6,1023.298,999.978,1016.134,1016.661,1017.535,1057.657,1075.452,1106.159,1165.191,0.001,3745,88.6,1022.497,99.6,1020.068,,70,3.6,5773.778,3745,3.8,4668.501,,204.4,1078.044,,0,-0.001
75,93,1021.446,999.818,1015.869,1016.519,1017.156,1049.256,1072.919,1107.061,1158.633,0.001,3995,96.8,1020.888,59,1100.261,,75,3.4,4781.4,3995,4.2,4540.369,,222.6,1072.99,,0,-0.001
80,90.8,1021.895,999.829,1016.054,1016.624,1017.191,1033.677,1074.608,1133.28,1149.862,0.001,4245,92,1021.643,104.8,1018.855,,80,3.8,5307.229,4245,4.8,5305.381,,0,-0.001,,38.2,1173.567
85,86.8,1023.07,995.333,1016.111,1016.678,1017.289,1058.17,1076.021,1105.899,1174.534,0.001,4495,89,1022.393,98.2,1020.256,,85,4.6,4785.375,4495,4,5130.775,,28.6,1413.188,,858,1018.249
90,90.6,1021.839,1000.136,1016.016,1016.628,1017.142,1033.653,1067.41,1133.323,1166.985,0.001,4745,41.2,1030.049,95.2,1020.902,,90,4.4,4306.718,4745,3.8,4544.596,,90.2,1087.876,,18.8,1868.972
95,104.8,1019.01,1000.033,1016.1,1016.602,1017.142,1025.035,1050.452,1082.625,1150.36,0.001,4995,95.6,1020.846,103.8,1019.177,,95,4.6,5053.601,4995,3.6,5363.869,,236,1067.998,,205.6,1251.519
100,90,1022.641,1000.261,1016.106,1016.659,1017.299,1049.786,1074.351,1100.639,1156.512,0.001,5245,96.4,1020.72,0,-0.001,,100,3.8,4934.164,5245,5.2,4838.925,,212.8,1074.913,,518,1030.081
